question,type,topic,answer
what is a headache,disease,Headache,"A headache is pain or discomfort in the head or upper neck, ranging from a mild dull ache to intense throbbing pain. Common causes include stress, dehydration, poor posture, lack of sleep, eye strain, or skipped meals, and most resolve with rest, hydration, and over-the-counter pain relief. See a doctor if a headache is sudden and severe, follows a head injury, or comes with confusion, stiff neck, or vision changes."
tell me about headaches,disease,Headache,"A headache is pain or discomfort in the head or upper neck, ranging from a mild dull ache to intense throbbing pain. Common causes include stress, dehydration, poor posture, lack of sleep, eye strain, or skipped meals, and most resolve with rest, hydration, and over-the-counter pain relief. See a doctor if a headache is sudden and severe, follows a head injury, or comes with confusion, stiff neck, or vision changes."
what causes headaches,disease,Headache,"A headache is pain or discomfort in the head or upper neck, ranging from a mild dull ache to intense throbbing pain. Common causes include stress, dehydration, poor posture, lack of sleep, eye strain, or skipped meals, and most resolve with rest, hydration, and over-the-counter pain relief. See a doctor if a headache is sudden and severe, follows a head injury, or comes with confusion, stiff neck, or vision changes."
what is fever,disease,Fever,"A fever is a temporary rise in body temperature (usually above 100.4°F/38°C), typically a sign that the body's immune system is fighting an infection. It's often accompanied by chills, sweating, headache, and fatigue, and mild fevers are usually managed with rest, fluids, and paracetamol. See a doctor if fever exceeds 103°F/39.4°C, lasts more than 3 days, or comes with severe symptoms like difficulty breathing or a rash."
tell me about fever,disease,Fever,"A fever is a temporary rise in body temperature (usually above 100.4°F/38°C), typically a sign that the body's immune system is fighting an infection. It's often accompanied by chills, sweating, headache, and fatigue, and mild fevers are usually managed with rest, fluids, and paracetamol. See a doctor if fever exceeds 103°F/39.4°C, lasts more than 3 days, or comes with severe symptoms like difficulty breathing or a rash."
what causes fever,disease,Fever,"A fever is a temporary rise in body temperature (usually above 100.4°F/38°C), typically a sign that the body's immune system is fighting an infection. It's often accompanied by chills, sweating, headache, and fatigue, and mild fevers are usually managed with rest, fluids, and paracetamol. See a doctor if fever exceeds 103°F/39.4°C, lasts more than 3 days, or comes with severe symptoms like difficulty breathing or a rash."
what is diabetes,disease,Diabetes,"Diabetes is a long-term condition where the body cannot properly regulate blood sugar (glucose), either because it doesn't produce enough insulin (Type 1) or doesn't use it effectively (Type 2). Common symptoms include excessive thirst, frequent urination, fatigue, and unexplained weight loss. It's managed through diet, exercise, and medication or insulin as prescribed by a doctor."
tell me about diabetes,disease,Diabetes,"Diabetes is a long-term condition where the body cannot properly regulate blood sugar (glucose), either because it doesn't produce enough insulin (Type 1) or doesn't use it effectively (Type 2). Common symptoms include excessive thirst, frequent urination, fatigue, and unexplained weight loss. It's managed through diet, exercise, and medication or insulin as prescribed by a doctor."
what causes diabetes,disease,Diabetes,"Diabetes is a long-term condition where the body cannot properly regulate blood sugar (glucose), either because it doesn't produce enough insulin (Type 1) or doesn't use it effectively (Type 2). Common symptoms include excessive thirst, frequent urination, fatigue, and unexplained weight loss. It's managed through diet, exercise, and medication or insulin as prescribed by a doctor."
what is high blood pressure,disease,Hypertension,"Hypertension, or high blood pressure, occurs when the force of blood against artery walls stays consistently too high. It often has no obvious symptoms, which is why it's called a 'silent' condition, but over time it raises the risk of heart disease and stroke. It's usually managed with lifestyle changes (less salt, more exercise) and medication."
what is hypertension,disease,Hypertension,"Hypertension, or high blood pressure, occurs when the force of blood against artery walls stays consistently too high. It often has no obvious symptoms, which is why it's called a 'silent' condition, but over time it raises the risk of heart disease and stroke. It's usually managed with lifestyle changes (less salt, more exercise) and medication."
tell me about high bp,disease,Hypertension,"Hypertension, or high blood pressure, occurs when the force of blood against artery walls stays consistently too high. It often has no obvious symptoms, which is why it's called a 'silent' condition, but over time it raises the risk of heart disease and stroke. It's usually managed with lifestyle changes (less salt, more exercise) and medication."
what is asthma,disease,Asthma,"Asthma is a chronic condition where the airways narrow, swell, and produce extra mucus, making breathing difficult. It can cause wheezing, shortness of breath, chest tightness, and coughing, often triggered by allergens, exercise, or cold air. It's typically managed with inhalers (reliever and preventer types) prescribed by a doctor."
tell me about asthma,disease,Asthma,"Asthma is a chronic condition where the airways narrow, swell, and produce extra mucus, making breathing difficult. It can cause wheezing, shortness of breath, chest tightness, and coughing, often triggered by allergens, exercise, or cold air. It's typically managed with inhalers (reliever and preventer types) prescribed by a doctor."
what triggers asthma attacks,disease,Asthma,"Asthma is a chronic condition where the airways narrow, swell, and produce extra mucus, making breathing difficult. It can cause wheezing, shortness of breath, chest tightness, and coughing, often triggered by allergens, exercise, or cold air. It's typically managed with inhalers (reliever and preventer types) prescribed by a doctor."
