user_input,category,severity,first_aid,emergency
i have a high fever,Fever,Moderate,"Rest, drink fluids, take paracetamol if needed, and monitor temperature.",No
my body temperature is very high,Fever,Moderate,"Rest, drink fluids, take paracetamol if needed, and monitor temperature.",No
i feel feverish and hot,Fever,Moderate,"Rest, drink fluids, take paracetamol if needed, and monitor temperature.",No
i have chills and fever,Fever,Moderate,"Rest, drink fluids, take paracetamol if needed, and monitor temperature.",No
my child has a fever,Fever,Moderate,"Rest, drink fluids, take paracetamol if needed, and monitor temperature.",No
i have a headache,Headache,Mild,"Rest in a quiet dark room, stay hydrated, take a mild pain reliever if needed.",No
my head is hurting,Headache,Mild,"Rest in a quiet dark room, stay hydrated, take a mild pain reliever if needed.",No
i have a throbbing headache,Headache,Mild,"Rest in a quiet dark room, stay hydrated, take a mild pain reliever if needed.",No
i feel pain in my head,Headache,Mild,"Rest in a quiet dark room, stay hydrated, take a mild pain reliever if needed.",No
severe headache since morning,Headache,Mild,"Rest in a quiet dark room, stay hydrated, take a mild pain reliever if needed.",No
i am vomiting,Vomiting,Moderate,"Sip small amounts of water, avoid solid food temporarily, rest.",No
i feel like throwing up,Vomiting,Moderate,"Sip small amounts of water, avoid solid food temporarily, rest.",No
i have been vomiting since morning,Vomiting,Moderate,"Sip small amounts of water, avoid solid food temporarily, rest.",No
my stomach feels sick and i am vomiting,Vomiting,Moderate,"Sip small amounts of water, avoid solid food temporarily, rest.",No
i vomited after eating,Vomiting,Moderate,"Sip small amounts of water, avoid solid food temporarily, rest.",No
i have a cut on my hand,Cut,Mild,"Clean the wound with water, apply antiseptic, cover with a clean bandage.",No
i got a small cut while cooking,Cut,Mild,"Clean the wound with water, apply antiseptic, cover with a clean bandage.",No
my finger is bleeding from a cut,Cut,Mild,"Clean the wound with water, apply antiseptic, cover with a clean bandage.",No
i accidentally cut myself,Cut,Mild,"Clean the wound with water, apply antiseptic, cover with a clean bandage.",No
there is a deep cut on my leg,Cut,Mild,"Clean the wound with water, apply antiseptic, cover with a clean bandage.",No
i burned my hand,Burn,Moderate,"Cool the burn under running water for 10 minutes, do not apply ice, cover loosely.",No
i got a burn from hot oil,Burn,Moderate,"Cool the burn under running water for 10 minutes, do not apply ice, cover loosely.",No
